Stars,Title,Description
5,Can you say SCREAM!,"This is the first time I've ever went for it and got an i9. I usually stick to the i7. I am so glad I decided to take the chance because this thing screams. To think that I can also squeeze out more by overclocking is just insane. Every application I've ran is so snappy and responsive. Being an impatient human, this thing makes me happier every time I turn it on. Power and Speed are right where I like it. This chip is just so damn sweet!"
5,Great performance,"This is an excellent, stable CPU. Care must be taken to keep it cool. It is a hot running CPU. To avoid heat throttling at 100deg Celsius in heavy duty gaming or testing, order a high end liquid cooler. For professional work and easy gaming a big block fan cooler will be just fine as it is much more quiet. To save a little  money, if at all, the I9-13900K will work just as well performance wise."
5,it works,Works - what else is needed?  a little expensive.
5,Powerful processor,"Not sure what more to say other than it's crazy powerful.  Make sure you have a high watt power supply to go with this and all the devices you plan to run with this.  And really don't go small on the CPU cooler.  This thing is good at figuring out when to throttle down.  You'll get it's best performance with a large aio water cooler.  If you can build your own water cooling system, better.Also, make sure your mobo manufacturer have  all the drivers available to work smoothly with these lines of processors."
5,Well packaged and performed perfectly,"No issues with this seller or product, but for those that are looking for a new PC part the 14900 k is merely a refinement over the 13900k which you may be able to find cheaper."
5,Gaming God,"The media could not be loaded.
                



This beauty does exactly what it says, super fast overclocking her to 6 GHz run smooth."
5,Excellent,"I had a minor hiccup with my new 14900KF, but I contacted Intel and their customer service was fantastic. They sent me a new one and it's working great now. This thing is like a buzz saw in gaming. I have a negative offset on the voltage of -0.0500v and the hottest I've seen it get was 62c while playing Horizon Zero Dawn maxed at 4K. It was getting as high as 190 FPS every now and then. This CPU is brutal man. Top flight customer service too."
5,Ultimate with 4090oc.,PERFECT!  EASIER to install than I thought as a first time processor install for me.WORTH WHILE performance increase from my (also good 12700). And helped unleash the power of my 4090oc GPU.
5,Perfecto,"The media could not be loaded.
                



Perfecto, es un i9 no se puede decir m?"
5,"Rock stable, Fast clock speeds, basically like buying the silicon lottery for a 13900K/KS","It's a Raptor Lake refresh CPU. If you have a 13900K you don't need this. Unless you are an extreme over clocker or need every possible MHZ per thread and stability. If you have a 13900KS you really don't need this CPU.If you have a 12th Gen, it might be worth it to you if you need that extra performance but really depends on what you do.If you are on 11th Gen or below and were looking to upgrade, you might as well get a 14700K or 14900K or KF as they are similarly priced with the 13th gen processors.Also, the 14700K has a 4 more E cores and higher clock speeds which can result in 10-20% performance gains depending on the workload compared to the 13700K.Otherwise wait for the next generation of CPUs to make the leap."
5,"Very happy with 14900K, the reviews are misleading. It's feels way better then they say it performs.","This CPU is amazing. Feels like magic. I have it running in an Asrock PG Sonic 700 series, with 32GB GSkill DDR5 7200, and a Crucial T700 2TB PCIe 5.0 SSD and Cooler Master Masterliquid Atmos 360. Anytime u do anything, even click a icon the cpu jump up to 6Ghz. And for me stay under 30C Idle and under 70C Max Load. Never mind what temperatures it runs at, I can't get it to throttle. Seems like all of its power is available on demand all the time. And I'm basically computing in Real Time. The 13900K was fast, significantly faster then the 12900K, and this CPU even though on paper it doesnt look like they did much, and in benchmarks it looks close, it still feels like 15-20% faster the 13900K when your using it. I feel like it runs cooler then the 13900K, the 13900K was the hot chip. I don't know how they do it. Like I said it's like magic how it stays at 6GHz and stays so cool."
5,It? a beast,Currently playing Battlefield 2042 with this beast and it? silk smooth even paired with a 1080ti
5,Ye,CPU runs at max 65 C. Seems good to me.
5,Powerful cpu for gaming,"Love the processor, got it new and using with a rtx 4090 for 1440p. Have it paired with a z690 formula board and I have the ai optimize the cpu. On a 420 cooler it gets 60c at best with warzone 3 with 240 fps. Fast and consistent,  on a 240 cooler Temps got up to 71-81c keep that in mind. Love my purchase!"
5,Hot,Runs hot but runs very well needs a good good good cooler
5,Can't argue with results,"Intel has always worked better for me than competition. I feel like reviewers benchmarks may not be realistic to a typical PC setup. I'm getting 620Fps at 1440P in Rainbow Six Siege on a 4090 ROG Strix OC. Yes at this framerate my fans do spin fast and are loud, but I limit the frames to 143 and then it is quiet and the fans hardly spin.Case: Corsair 4000DGPU : Asus ROG STRIX 4090 OCCPU : Intel Core i9-14900KPSU : MSI MPG A1000G PCIE 5 ATX 3.0Cooler : ARCTIC Liquid Freezer II 280Fans : 4x Antec PF12 SeriesStorage : 2X SAMSUNG 990 PRO SSD 4TB  870 EVO 4TB 2.5 InchMemory : 64GB 2x32 Corsair Vengeance 5600MHz CL40 XMPNote: I would not recommend the cooler for this case and MB combo Heatsink on MB blocks cooler which doesn't properly screw in totally."
5,Intel has made a really fast CPU,"I like the CPU because of the speed and easy install with no problems.  I use two 140 Cooler Master radiator fans to keep the unit cool. I totally rebuilt my computer with a Asus Rog 790Z board, 5 M.2  drives. I get a total boot up in 15 Seconds. I use the unit for Data, Video and music.  I've used intel chips and Asus Boards for over 30 years and never had a problem.  With this package I get instant access to all my files. Very happy with my purchase."
5,Great Processor!,I build it my new editing PC and use this 14th generation processor (24 cores and 32 threads).
5,I like it.,Runs at a good temp with a kraken 360 elite.
5,Great cpu,"The i7 14700KF isn't just a CPU; it's a beast unleashed. This 20-core powerhouse purrs like a kitten under normal workloads, staying surprisingly cool thanks to its 7nm architecture. But don't be fooled by its initial demeanor  this CPU is a wolf in sheep's clothing, ready to tear through any demanding games and content creation tasks with ease, I paired with an rx 7900 xtx and forgot about frame rate drops and stuttering."
5,Great performance. Lots of heat,Great performance. Lots of heat.
5,High TDP and Temperatures,"A very powerful processor, but if it does not have good cooling, its functions will be limited. Currently it is working wonders together with the other components. But if they have a moderate cooling system, it is advisable to use the other brand of processors ""AMD"" that has half the temperatures, but with 10% to 20% less performance in some activities, and with the defects that come with not have an architecture that self-protects well or do not update its software often for better handling.Finally, I recommend the processor, only if you have a processor that does not meet current needs. My I7 6700k can do it all, but for some specific technologies, such as SSD Gen 4, peripherals with high-speed USB - C and others, it couldn't cope."
5,"Runs hot, get a good cooler!","Awesome CPU thing can handle anything and everything for at least my needs as a gamer, and programmer! HIGHLY SUGGEST getting a 360 AIO or a custom water loop, and a CPU bracket if you are getting this CPU. It run's very hot getting a CPU bracket cut down my temps about 5-10 degrees. I'm not sure how good air coolers are for this CPU but I've seen a lot of people not suggest it. I use a 360 AIO Loop and it works great at keeping this thing cool!"
5,Highly recommended,"The media could not be loaded.
                



Works well on my new PC"
5,Performs!,"Does as intended. Topped the stock benchmark stats. It's a heater but the I9s are the top performs. Recommend no smaller than a 360 cooler, I went Artic due to the increased width of their radiator core. Top temp (tuned) 95c but will play most games in the 65c range. VR put a greater heat of 91c max but the flight sim was beautiful and smooth as can be with water takeoffs and landings. This was an upgrade to a 12700kf that I chose awaiting the 14 generation processors. I have this combined with a Nvidea 4080 on a MSI z690 board with 64gb ddr4.  Smooth gaming."
5,Rápido y con buena atención,El producto llego antes de los esperado y en buenas condiciones. Lo cual se agradece mucho. Estare probando en los próximos días
5,Super fast,I really enjoy the speed of this processor. IO would definitely use this again on another build. Didn't rate the gaming because I am not a gamer but I would expect it would be great for that as well.
5,Careful shipment,Everything was great
5,"Great so far, one gen newer with no real improvements.",It was either this one or the 13th gen. I went with this one for the few extra bucks to stay up to date with things longer. Works great so far with no issues.
5,Very good CPU for work use.,"This CPU is for work use. It is very stable at stock speeds. It worked great right out of the box. I doubt if I will ever have to think about it again. I recommend it for real world use. As for gaming, I just can't say how it would perform."
5,Power,"The i9 14900K is undoubtedly a very powerful CPU!Just for gaming I wouldn't recommend, for gaming and working, YES!Also, think about a GOOD COOLING solution (custom watercooler, cryo,...) and/or undervolting (depends on MoBo).A regular 360mm AIO has a hard time keeping this CPU cool!"
5,"Aparentemente es un buen procesador, pero, no ha funcionado en mi placa madre","Este producto fue comprado en base a la información técnica de compatibilidad de INTEL y ASUS para la placa madre ASUS ROG Maximus Z690 Hero. Sin embargo, NO funciona, el sistema operativo no arranca. Se hicieron todas las pruebas sugeridas por ASUS, pero, simplemente NO funciona. Es más, se cambió a un nuevo procesador i9-14900KF y dió los mismos resultados, NO funciona. Aún estoy esperando respuesta de ASUS (2023-12-08). Si alguien tiene la misma placa madre y el mismo procesador, agradecería su sugerencia.Nota: la placa madre ASUS ROG Maximus Z690 Hero funciona perfectamente con procesador i9-12900KF"
5,"Great  buy, when on sale",This is a great processor and when on sale it is by far the best value out there!
5,Great CPU,"Decided to go Intel over AMD and this cpu will not disappoint you. I’d recommend looking into the E-Core and Pcore information before you buy, haven’t noticed any issue with it but still a nuisance"
5,came from a 12600k,upgraded from a 12600kf and 3080 10gb and went to this 14700kf and 4070 ti super and its great. added 60-70fps on a lot of games.
5,Absolutely a monster CPU.,"Fast.Runs cool and sips power at idle, guzzles down power when under heavy render load. Gaming is average load and power. Can't complain.More than 6 or 8 cores, won't be limited in the future.Very Fast.Intel APO for 14th gen is a neat new feature which can greatly improve gaming performance.Stable.Memory trains fast and is stable even when pushed well above XMP.Not cheap? But also not expensive for the amount of cores and performance.Would recommend."
5,Pretty good CPU but gets hot.,Upgraded from a 13700k and it is noticeably faster but not a huge upgrade.  Only went with the 14900k as it will be the last CPU I will need to buy for at least 3 years.
5,Ein wahres Rechenmonster,"Sagenhafte Performance. Aber man sollte unbedingt eine Wasserkühlung nutzen, mit einem Prozessorlüfter läuft man sehr schnell Gefahr dass der Prozessor wegen Überhitzung drosselt."
5,20 Cores with 28 Logical processors,"This CPU is extremely good. Base speed is 3.40 GHz overclocking speed is 5.6 GHz. L1 cache is 1.8 MB, L2 cache is 28 MB and L3 is 33 MB. Handles most CPU intensive games really well."
5,Great CPU for the price,"4 more efficiency cores than 13700K for about the same price! If you worried about the heat and power draw, go into the BIOS and set the CPU max power draw to 253W which is the max power draw from Intel's website. By setting CPU max power draw to 253W in BIOS, my temperature went from 93c down to 82c in Cinebench 2024 stress test. Actually only draws 60-70w when I game. Most of the time you will not use all the CPU cores so don't worry about power draw."
5,Bester Prozessor,"Der Prozessor ist zwar recht teuer und wir favorisieren immer noch Intel anstelle anderer Hersteller. Die Installation des Prozessors war extrem einfach und er liefert genau die Performance, die wir uns erhofft haben. Da ist jetzt erst einmal wieder für die nächsten Jahre Ruhe."
5,Alles ok,Alles ok gerne wieder danke
5,Fast and not as hot as expected,Speeds are great in all benchmarks and real world workflows. Obviously overkill for gaming. Paired with a 360 AIO it stays at great temps.I tried a 7950x build but literally no combo of ram and motherboard would result in stability and the boot would take absurdly long despite memory context restore/power down disabled. I popped this in and immediately all my problems went away. Fast boot times and stability!
5,"5.0 out of 5 stars
i9 14th gen is the beast!","Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant."
5,Buen procesador,"Buen procesador que te da para poder jugar y realizar trabajos de ofimática, renderización de video, etc"
5,Cool,bonne decision pour mon ordi
5,Prestazioni ottime: Recensione del processore Intel Core? i7-14700KF,"Questo processore è una vera e propria potenza che soddisferà le esigenze dei gamer, degli utenti professionali e di coloro che cercano il massimo delle prestazioni nel proprio PC. Con una frequenza base di 3.6 GHz e una frequenza boost massima di 5.0 GHz consente di gestire efficacemente carichi di lavoro pesanti, rendendolo ideale per attività come il rendering video, il gaming e la produzione multimediale.Per i gamer più esigenti, il Core? i7-14700KF offre prestazioni grafiche straordinarie grazie alla compatibilità con le schede grafiche più recenti e alle tecnologie avanzate come l'Intel® Deep Learning Boost, che migliora le prestazioni dell'intelligenza artificiale nei giochi e nelle applicazioni di realtà virtuale. Personalmente faccio anche molto editing video e non ho mai riscontrato problemi o rallentamenti con DaVinci Resolve o Premiere.Prezzo altino ma purtroppo oggi giorno i prezzi sono questi."
5,Die pure Kraft - Intel® Core? i9-14900KF,"Nachdem ich meinen PC mit dem Intel Core i9-14900KF aufgerüstet habe, kann ich sagen, dass dieser Prozessor ein echtes Kraftpaket ist. Hier sind meine Eindrücke nach intensiver Nutzung:Leistung:Mit seinen 24 Kernen und einer beeindruckenden Taktrate liefert der i9-14900KF eine unglaubliche Leistung. Egal ob beim Gaming, bei der Videobearbeitung oder beim Multitasking ? dieser Prozessor meistert alles mühelos. In Spielen wie Cyberpunk 2077 und Red Dead Redemption 2 laufen die Grafiken butterweich, selbst bei höchsten Einstellungen. Die Ladezeiten sind minimal und das Gameplay ist absolut flüssig.Multitasking:Ich arbeite oft mit mehreren anspruchsvollen Anwendungen gleichzeitig ? von Adobe Premiere Pro über Photoshop bis hin zu Blender. Der i9-14900KF bewältigt diese Aufgaben ohne ins Schwitzen zu geraten. Selbst wenn ich ein Video rendere und gleichzeitig in einem anderen Fenster an einem großen Bildbearbeitungsprojekt arbeite, bleibt das System reaktionsschnell und stabil.Kühlung:Apropos Kühlung ? der i9-14900KF kann unter Last ziemlich warm werden. Ich habe mich für eine hochwertige Wasserkühlung von NZXT entschieden (Kraken 360 Elite), um die Temperaturen im Griff zu behalten. Mit dieser AIO bleibt der Prozessor auch bei intensiven Gaming-Sessions oder langen Renderzeiten kühl und leise.Preis-Leistungs-Verhältnis:Der Preis des i9-14900KF ist sicherlich nicht niedrig, aber angesichts der gebotenen Leistung halte ich ihn für gerechtfertigt. Für Enthusiasten und Profis, die maximale Performance benötigen, ist dieser Prozessor eine lohnende Investition.Fazit:Der Intel Core i9-14900KF ist ein absolutes Monster in Sachen Leistung. Ob beim Gaming, bei kreativen Arbeiten oder beim Multitasking ? dieser Prozessor liefert konstant beeindruckende Ergebnisse. Die Möglichkeit zur Übertaktung bietet zusätzlichen Spielraum für Performance-Enthusiasten. Auch wenn er etwas teurer ist und eine gute Kühlung erfordert, bin ich rundum zufrieden mit meiner Wahl und kann den i9-14900KF jedem empfehlen, der das Beste aus seinem System herausholen möchte."
5,Arrived fast,Fast shipping. Works as advertised.
5,Excelente procesador top de lo top,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium."
5,Fast,Used for 3D rendering. Solid and fast. I am very happy with this cpu.
1,Horrible Efficiency,"overall intel is great for a work station, HOWEVER the 14 series is stupid as hell... it offers NO benefit in 99.9% of situations over 13 series... I upgraded from a 12700k, and saw only minor improvements, and at the expense of power cost. My desktop now idles at 150-250 watts... before with my 12700k it was idling at like half that. in most cases a lot of people wont care, however being forced to live in a high cost of living state like CA, where electricity is $0.44 per kwh, that means just idling is costing me 0.11 per hour, that's $1000 a year just in idling... plus all the electricity my house uses. I'm only here temporarily (military) and will be moving as soon as retire, but its something to note.On top of that, its a straight refresh of the older 13th gen, and they blocked APO for the 13th and 12th gen and aren't working on getting it working across the board (only minor useless titles no one honestly cares about)...If it was a bit cheaper to go AMD, I would have went to a 7800x3d, but that would have cost me about 900 just to switch, due to having to buy new RAM (still on DDR4, 3600mhz/CL14) and Motherboard...There's also the constant issue of certain games/programs just refusing to run in Multithread/Multicore, or using the E-cores inappropriately. Intel really needs to sort out this trash..."
1,BUYER BEWARE,I have written a couple of dozen reviews on Amazon and this is only my second negative review.  I placed an order for a brand new Intel 14700K CPU from Amazon and it arrived as an Open Box (the factory seal had been cut and the processor was jammed into the packaging at an odd angle.  I installed it in my system and it would not boot - did not even get past the POST testing.  I uninstalled it and send back for a refund with a note that it was an open box and was defective.I give this only a single star across all categories as the processor arrived in an open box (I paid full price for a new CPU) and did not work in my system (it was defective on arrival) - it's a month later and I still have not received a refund.  I purchased an identical CPU from another source and that CPU booted up with no issues (it is running the PC I am typing this review on) so clearly an issue with the quality of the product that Amazon shipped to me.
1,Would be a great CPU but mine defective but it still booted and acted fine at first.,"System booted  fine with 2 ram sticks installed and it appeared that everything was fine at first but after some time issues started to show up.  Unfortunately this did not happen until the 30 day return policy elapsed.  At first I thought it was the motherboard or RAM.  But testing of different RAM ruled that out.  Bios updates to the motherboard did not help the issue.  Putting in a known good CPU allowed the final test of the motherboard and original system RAM and that all passed which indicates a issue with the CPU.  Now I'm waiting for Intel RMA process to have them test the CPU again and hopefully replace it.  When I did not have issues, it was a fast CPU, very impressed with that, just wish this showed up sooner."
1,New Intel I7 was delivered with the open and taped box,Intel I7 processor was delivered with the open box and with tape on it. When I bought It says that the I7 was brand new. Very disappointed for the right price I paid for it.
1,"Re-packaged, broken CPU","CPU1 fails CPU Float test from Intel's diagnostic tools. This also never came with the signature Intel stickers, thus leading me to believe the item was repackaged after a return. I will be filing an RMA to deal with this as I wasn't able to figure this out inside the 30 day window"
1,Did not work,Failed CPU after only a week of building the pc. Came in a slightly damaged package but thought it would still be okay. Did not have enough time to return or replace because of the time that it took to troubleshoot the issue.
2,"2.0 out of 5 stars
It's just a overclocked i7 13700k",What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money
2,No thermal paste?,"Ive bought AMD for a long time, this is my first time trying intel and seeing no thermal paste is like a spit in the face."
3,Issues...,"I had tons of issues with this cpu. I returned it and purchased elsewhere due to Amazon not having a replacement option or any available at the time for prime shipping. The one that I have now works great, so it's a good product if you get one that works.My second gripe with this cpu is that it's basically just a refresh of 13th gen without the luxury of working out of the box with z790 mobos. You will need to flash the bios of your mobo."
3,Poor Packaging,"I had tons of issues with this cpu. I returned it and purchased elsewhere due to Amazon not having a replacement option or any available at the time for prime shipping. The one that I have now works great, so it's a good product if you get one that works.My second gripe with this cpu is that it's basically just a refresh of 13th gen without the luxury of working out of the box with z790 mobos. You will need to flash the bios of your mobo."
3,Issues...,"I had tons of issues with this cpu. I returned it and purchased elsewhere due to Amazon not having a replacement option or any available at the time for prime shipping. The one that I have now works great, so it's a good product if you get one that works.My second gripe with this cpu is that it's basically just a refresh of 13th gen without the luxury of working out of the box with z790 mobos. You will need to flash the bios of your mobo."
3,Poor Packaging,"I had tons of issues with this cpu. I returned it and purchased elsewhere due to Amazon not having a replacement option or any available at the time for prime shipping. The one that I have now works great, so it's a good product if you get one that works.My second gripe with this cpu is that it's basically just a refresh of 13th gen without the luxury of working out of the box with z790 mobos. You will need to flash the bios of your mobo."
3,Issues...,"I had tons of issues with this cpu. I returned it and purchased elsewhere due to Amazon not having a replacement option or any available at the time for prime shipping. The one that I have now works great, so it's a good product if you get one that works.My second gripe with this cpu is that it's basically just a refresh of 13th gen without the luxury of working out of the box with z790 mobos. You will need to flash the bios of your mobo."
3,Poor Packaging,"I had tons of issues with this cpu. I returned it and purchased elsewhere due to Amazon not having a replacement option or any available at the time for prime shipping. The one that I have now works great, so it's a good product if you get one that works.My second gripe with this cpu is that it's basically just a refresh of 13th gen without the luxury of working out of the box with z790 mobos. You will need to flash the bios of your mobo."
4,Insane performance at a cost,"This processor is a speed demon. Gaming, editing, encoding, and whatever else you can think of, it can handle. The performance is there. The value for money is quite good too. Unless you really want top of the line, this chip effectively eliminates the i9 from consideration. 20 cores. 8P and 12E. Boost up to 5.6GHz on 2 threads. I swapped a 12600K for this part and I'm still kinda staggered at just how fast it is in heavily threaded apps. This is a perfect upgrade chip for somebody on an older 12th gen i5 or lower. I wouldn't consider building new with it however.There's a cost to this CPU though. Heat. And power draw. I have an Arctic Liquid Freezer III 360 AIO on this chip, and even with a sizable undervolt, it still throttles at around 230W running 100C. It feels like this chip is almost uncoolable. Unless you go full custom liquid cooling or something. I considered a large air cooler for this chip and I'm glad I went with an AIO. Buyer beware. This thing runs hot. It's also incredibly fast. If you can cool it this thing will fly."
4,Hot in everyway,"Lot of power, enough for any game, especially if you add APO from intel but you need a good cooler because these run hot !Ps: also deactivate in your BIOS the auto tunning if you have an high end motherboard… these are pumping insane volts and watts in the cpu"
4,Main improvement is lower power cost day-day,"I upgraded from an 8700k to this 14700k nearly 8 years later. Performance-wise, the difference is fairly negligible to me, and that is reflected in the 'real' specs. Going from 6 cores to 20 cores isnt really a 3x+ increase when most of those cores are 'efficiency cores'. User benchmark puts 14700k as only being 47% faster than the 8700k, despite being 8 years and 6 generations apart.The main improvement from my point of view is the reduced idle/casual power use. My UPS tells me that for my 8700k/1070ti system I drew ~0.43 Kw, and my new 14700k/4070ti super draws ~0.31 Kw watching YT, browsing the web (includes fans, monitors, etc).Mostly just wanted more balance for the new graphics card, since that's what does most of the heavy lifting these days anyway. AI image generation/training - GPU, video rendering/editing/transcoding - GPU, even audio processing/correction is done on GPU these days."
4,Works but not the most stable,I'm using this as a server CPU mostly for the SR-IOV capable GPU stability has been an issue when running windows VM's on proxmox but in light of recent news about mainboard MFG's pushing the CPU too hard out of the box that may be the source of my stability issues as I mostly left the settings OOB for the CPU
4,"Results are high, like the price!","I was never a fan of Intel's business models of locking off cores/features to try and upsell the features back to the consumer.......That aside, Intel has always been the leader in the CPU market and while AMD has been making strides in recent years Intel is still the go to for reliability and power.Anyway.... if you have money to burn and need to upgrade due to artificial obsolesces that is the new craze of forcing people to upgrade.... well, this processor will last a long time... or until they just decide it's not capable anymore."
4,Goes to 100 c with 280 MM AIO cooler,THis is a power hungry beast of a processor..under load goes to 280 Watt easy.. had to set the power limits using intel XTU.. but idles at 30n-35 C while browsing and general use... Jumped from a I7 9700 K to this... can see huge difference in gaming else its OK !!
4,She’s a hot one,"I upgraded from a12700k with asus tuf z690 board and a arctic air 360 AIO. The 12700 K ran at about 50°C gaming.The 14700k runs in the mid 60s. The 12700k Cinebench score and  temp was 22600/71c. The 14700k was 32000/87c . Still below throttling, which is OK according to Intel . When gaming I only see maybe five frames per second faster at 2k res .this is a good chip. Don’t get me wrong. with as many cores as this has, and the speed it should last for a long time, it far exceeds the needs of any. New or future games."
4,Gets Hot Under Loads,"Undervolt for best performance. Don’t get me wrong, it’s a very powerful processor. However there’s typically a lot of heat associated. Without undervolting, hitting its 100 degree Celsius cap is easier than it probably should be."
4,Intel has a long way to go.,"To start, this is a great CPU. I consistently maintain 5.4-5.6 GHz without entering overclocking territory. I paired it with an MSI Suprim X 4070ti, and they destroy 1440p together. However, this is obviously a refresh and NOT a new generation. Performance gains are limited and to get there they raised TDP and thus it runs HOT. I have a 240mm AIO and its.. fine. It's just disappointing that this is how Intel responds to competition. This is a missed opportunity. A very good CPU but with both GPU and AMD CPU's getting leaps in generational performance this was disappointing."
4,"Stable, fast and great!!","Greaaaaaat, but lacking in presentation."
4,Decent upgrade over I7 8700,Upgrade from an I7 8700 to this. Temps are crazy when gaming but my water cooling setup helps keep it mostly stable.
4,It's a hot one,I had to replace my h60 to get this to run a full benchmark without hitting thermal limit of 100c with no OC. That is under full core usage during 30s intervals.Now that I replaced the cooler with an artic cooler with some kryonaut paste I have it running 5.6 all core with dual core at 5.7 and it maxes out at 87 on furmark
5,"5.0 out of 5 stars
Beast gaming ????",Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it
5,The only real upgraded 14th gen part,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen."
5,"She's a beast, but so HOT!!","I guess everyone is right, these things are hot and then some.  I went with a off brand AIO, and for the most part I'm good.  It does get spicy when I'm rendering or doing some crazy multi tasking.Gaming seems fine, no issues.  I play all kinds of games, FPS, MMO's, survival, etc.  (Paired with a Gigabyte Gaming 4090 OC, Tforce 64 gigs 6000 M/T DDR5, samsung 990 pro NVME 2 tb x2, no OCing done by me.)I replaced a 5950x, which was having issues for some reason, just felt like it was getting slower and slower, thermal paste and heat were fine on it, never got over 60c with the beefier AIO I had on it.  Just took longer and longer to render things.  I guess I wore it out!I just think you'll want a good AIO, and/or a solid water cooling solution for this to really get the best out of it.  I'm not sure a air cooled option will do you any good, but hey I've been wrong many times, so there might be something that can handle the job.All in all, not bad, but it's not going to give you much performance boost over last gen, matter of fact I found out later 13700k beats it in a lot of tests, blargh!  Either way, its fast, and it runs everything great, so I'm happy till the next go around."
5,fast delivery,"Arrived earlier than expected, a very good Cpu. Expansive but what could we do."
5,L??uft,"Nachdem ich vor einer Weile auf einen 2k 144hz Bildschirm geupgraded hab, hat mein 9600k das Bocken angefangen und konnte in letzter Zeit nicht mehr die gew??nschte Leistung bringen.Hab jetzt seit ein paar Tagen dieses gute St??ck hier und was soll man sagen?? ein Rennpferd bester G??te. High End Gaming bew??ltigt der 14700k M??helos. (ein Beispiel: Forza Motorsport unter 25% auslastung laut taskmanager und laut intel monitoring unter 5% auslastung... verwirrend) Man k??nnte  auch 2 oder 3+ Titel gleichzeitig laufen lassen wenn die Grafikkarte das mitmacht.Mit meiner aio k??hlung kann er im Stresstest schon auf 90 grad hochgehen, die ist aber schon bisschen ??lter, mit einer neuen l??sst sich da sicher noch was machen.In Spielen ca. 60-70grad.die performance ist jedenfalls hervorragenddas geld hat sich jedenfalls gelohnt, allerdings ist jetzt meine 3070 wieder das bottleneck ?·??"
5,Works,Does it?? job
5,Looks good,"Haven't installed yet but looks fine. Die size is 30x40 mm, meaning 0,3 ml/0,8 g is the perfect amount of thermal paste (not included). I'll put 5 dots."
5,i7-14700K is a significant improvement from i9-12900K,"I decided the difference between the i7 and the i9 didn't justify the price difference, considering I was already getting about 1/3 more performance than my 12th generation i9. I wanted plenty of motherboard resources so I also bought the MSI MEG Z790 ACE, 32 GB of Kingston Fury 6400MT/s DDR5 and a 2TB Samsung 990 NVMe drive.Cooling had been a slight issue with the 12th generation i9, even with a 360mm AIO cooler, so I went custom loop. Along the way I found a GPU water cooler on sale and decided to install a lot of cooling. The Thermaltake 900 tower can take two 560mm radiators, but I wanted some disks, so I went for a 560x140 and a 280x140, both 45mm thick and backed by 6 fans. Four more fans feed air into the case and there's till plenty of clear space for more air to be dragged in.So what's the result? The processor runs at 85C worst case, and only two cores at that temperature. The fast DDR5 does make a significant difference. I initially ran it at 6GT/s then turned it up to 6.2 and finally 6.4. The last change is a 3.5% change in DDR5 speed and that gave me a 2.4% increase in system speed. I kept my old RTX3070 which used to run over 80C and now runs at 62C worst case. So despite more performance the system runs a lot cooler.I mostly run X-Plane 12, which runs the GPU and CPU very hard, continuously. After several hours the cooling water reached 36C and the worst core temperature was 85C. The processor just works. No stability issues with the standard settings on the MSI Z690 motherboard. There are three standard memory tuning options for 6.0, 6.2, and 6.4 GT/s and all work. This will do for me for a few years."
5,Chulada,La verdad es una chulada de procesador No me arrepiento de haberlo adquirido lo volveré a comprar las veces que fuese necesaria quedó genial con la computadora solo tuve que actualizar el bios de la placa base sin embargo por el resto su pan comido
5,En excelente estado,"El procesador llego bien empacado y con sus condiciones y funcionalidad excelente, cumple con todo; no tiene disipador de stock, pero hay tener en cuenta que para este tipo de procesadores es necesario un disipador de calor más eficiente que los que vienen en otros procesadores"
